MMSI,DFSI,record_count,max_gap_hours,impossible_relocation_km_d2,draft_change_count,going_dark_events,draft_change_events,teleportation_events,teleportation_d1_events,d1_episode_count,teleportation_d2_events,teleportation_d2_valid_events,teleportation_d2_flagged_events,loitering_transfer_events
209015000,0.000000,257,0.000,0.000,0,0,0,0,0,0,0,0,0,0
245043000,0.000000,150,0.000,0.000,0,0,0,0,0,0,0,0,0,0
258373000,0.000000,75,0.000,0.000,0,0,0,0,0,0,0,0,0,0
212357000,0.000000,88,0.000,0.000,0,0,0,0,0,0,0,0,0,0
265022000,0.000000,180,0.000,0.000,0,0,0,0,0,0,0,0,0,0
219006284,0.000000,42,0.000,0.000,0,0,0,0,0,0,0,0,0,0
636022285,0.000000,26,0.000,0.000,0,0,0,0,0,0,0,0,0,0
244528000,0.000000,71,0.000,0.000,0,0,0,0,0,0,0,0,0,0
209314000,0.000000,12,0.000,0.000,0,0,0,0,0,0,0,0,0,0
219003103,0.000000,125,0.000,0.000,0,0,0,0,0,0,0,0,0,0
219959000,0.000000,47,0.000,0.000,0,0,0,0,0,0,0,0,0,0
244870072,0.000000,105,0.000,0.000,0,0,0,0,0,0,0,0,0,0
219018494,0.000000,26,0.000,0.000,0,0,0,0,0,0,0,0,0,0
266331000,0.000000,290,0.000,0.000,0,0,0,0,0,0,0,0,0,0
266381000,0.000000,48,0.000,0.000,0,0,0,0,0,0,0,0,0,0
219028337,0.000000,121,0.000,0.000,0,0,0,0,0,0,0,0,0,0
219381000,0.000000,58,0.000,0.000,0,0,0,0,0,0,0,0,0,0
231898000,0.000000,108,0.000,0.000,0,0,0,0,0,0,0,0,0,0
248716000,0.000000,81,0.000,0.000,0,0,0,0,0,0,0,0,0,0
265797590,0.000000,198,0.000,0.000,0,0,0,0,0,0,0,0,0,0
257276000,0.000000,73,0.000,0.000,0,0,0,0,0,0,0,0,0,0
338009000,0.000000,152,0.000,0.000,0,0,0,0,0,0,0,0,0,0
211757470,0.000000,67,0.000,0.000,0,0,0,0,0,0,0,0,0,0
246171000,0.000000,67,0.000,0.000,0,0,0,0,0,0,0,0,0,0
220046000,0.000000,59,0.000,0.000,0,0,0,0,0,0,0,0,0,0
219000179,0.000000,172,0.000,0.000,0,0,0,0,0,0,0,0,0,0
636021310,0.000000,106,0.000,0.000,0,0,0,0,0,0,0,0,0,0
219013885,0.000000,74,0.000,0.000,0,0,0,0,0,0,0,0,0,0
211217860,0.000000,8,0.000,0.000,0,0,0,0,0,0,0,0,0,0
636018066,0.000000,195,0.000,0.000,0,0,0,0,0,0,0,0,0,0
314702000,0.000000,79,0.000,0.000,0,0,0,0,0,0,0,0,0,0
257180000,0.000000,30,0.000,0.000,0,0,0,0,0,0,0,0,0,0
219031310,0.000000,68,0.000,0.000,0,0,0,0,0,0,0,0,0,0
211731030,0.000000,36,0.000,0.000,0,0,0,0,0,0,0,0,0,0
220338000,0.000000,132,0.000,0.000,0,0,0,0,0,0,0,0,0,0
219007404,0.000000,39,0.000,0.000,0,0,0,0,0,0,0,0,0,0
211243920,0.000000,45,0.000,0.000,0,0,0,0,0,0,0,0,0,0
273611080,0.000000,29,0.000,0.000,0,0,0,0,0,0,0,0,0,0
212613000,0.000000,771,0.000,0.000,0,0,0,0,0,0,0,0,0,0
219281000,0.000000,198,0.000,0.000,0,0,0,0,0,0,0,0,0,0
265874000,0.000000,9,0.000,0.000,0,0,0,0,0,0,0,0,0,0
266314000,0.000000,45,0.000,0.000,0,0,0,0,0,0,0,0,0,0
219001431,0.000000,77,0.000,0.000,0,0,0,0,0,0,0,0,0,0
219005929,0.000000,64,0.000,0.000,0,0,0,0,0,0,0,0,0,0
265522240,0.000000,31,0.000,0.000,0,0,0,0,0,0,0,0,0,0
219001214,0.000000,31,0.000,0.000,0,0,0,0,0,0,0,0,0,0
246000000,0.000000,105,0.000,0.000,0,0,0,0,0,0,0,0,0,0
220043000,0.000000,67,0.000,0.000,0,0,0,0,0,0,0,0,0,0
538009534,0.000000,198,0.000,0.000,0,0,0,0,0,0,0,0,0,0
219000873,0.000000,43,0.000,0.000,0,0,0,0,0,0,0,0,0,0
219472000,0.000000,112,0.000,0.000,0,0,0,0,0,0,0,0,0,0
219007477,0.000000,39,0.000,0.000,0,0,0,0,0,0,0,0,0,0
219024178,0.000000,336,0.000,0.000,0,0,0,0,0,0,0,0,0,0
220333000,0.000000,93,0.000,0.000,0,0,0,0,0,0,0,0,0,0
219004596,0.000000,54,0.000,0.000,0,0,0,0,0,0,0,0,0,0
219029786,0.000000,53,0.000,0.000,0,0,0,0,0,0,0,0,0,0
265039000,0.000000,99,0.000,0.000,0,0,0,0,0,0,0,0,0,0
219002136,0.000000,85,0.000,0.000,0,0,0,0,0,0,0,0,0,0
219033781,0.000000,158,0.000,0.000,0,0,0,0,0,0,0,0,0,0
219017733,0.000000,67,0.000,0.000,0,0,0,0,0,0,0,0,0,0
220295000,0.000000,112,0.000,0.000,0,0,0,0,0,0,0,0,0,0
352002822,0.000000,27,0.000,0.000,0,0,0,0,0,0,0,0,0,0
